iter	Passed	Remaining
0	46	46786
1	47	23542
2	47	15759
3	47	11873
4	47	9548
5	48	7987
6	48	6871
7	48	6039
8	48	5387
9	49	4864
10	49	4437
11	49	4081
12	49	3778
13	49	3518
14	50	3293
15	50	3097
16	50	2924
17	50	2771
18	51	2633
19	51	2510
20	51	2398
21	51	2296
22	51	2203
23	52	2118
24	52	2040
25	52	1967
26	52	1900
27	52	1837
28	53	1779
29	53	1725
30	53	1675
31	53	1627
32	54	1582
33	54	1541
34	54	1501
35	54	1463
36	54	1428
37	55	1395
38	55	1363
39	55	1333
40	55	1303
41	55	1276
42	56	1250
43	56	1224
44	56	1200
45	56	1177
46	56	1155
47	57	1133
48	57	1113
49	57	1095
50	57	1076
51	58	1058
52	58	1040
53	58	1023
54	58	1007
55	58	991
56	59	976
57	59	962
58	59	947
59	59	934
60	59	922
61	60	909
62	60	896
63	60	884
64	60	873
65	60	861
66	61	851
67	61	840
68	61	830
69	61	820
70	61	810
71	62	801
72	62	791
73	62	782
74	62	774
75	62	765
76	63	757
77	63	748
78	63	741
79	63	733
80	63	725
81	64	718
82	64	710
83	64	702
84	64	696
85	64	689
86	65	682
87	65	676
88	65	670
89	65	663
90	65	657
91	66	651
92	66	646
93	66	640
94	66	634
95	66	629
96	67	624
97	67	619
98	67	613
99	67	609
100	67	604
101	68	599
102	68	594
103	68	590
104	68	585
105	68	581
106	69	576
107	69	572
108	69	567
109	69	563
110	69	559
111	70	556
112	70	552
113	70	548
114	70	545
115	71	541
116	71	537
117	71	533
118	71	529
119	71	526
120	71	522
121	72	519
122	72	515
123	72	512
124	72	509
125	72	506
126	73	502
127	73	499
128	73	496
129	73	493
130	73	490
131	74	487
132	74	484
133	74	481
134	74	478
135	74	476
136	75	473
137	75	470
138	75	467
139	75	465
140	75	462
141	76	459
142	76	457
143	76	454
144	76	452
145	76	449
146	77	447
147	77	444
148	77	442
149	77	440
150	77	437
151	78	435
152	78	433
153	78	431
154	78	428
155	78	426
156	79	424
157	79	422
158	79	420
159	79	418
160	79	415
161	79	413
162	80	411
163	80	409
164	80	407
165	80	405
166	80	403
167	81	401
168	81	400
169	81	398
170	81	396
171	81	394
172	82	392
173	82	391
174	82	389
175	82	387
176	82	385
177	83	384
178	83	382
179	83	380
180	83	378
181	83	377
182	84	375
183	84	374
184	84	372
185	84	370
186	84	369
187	85	367
188	85	366
189	85	364
190	85	363
191	85	361
192	86	360
193	86	359
194	86	357
195	86	356
196	87	354
197	87	353
198	87	351
199	87	350
200	87	349
201	88	347
202	88	346
203	88	344
204	88	343
205	88	342
206	88	340
207	89	339
208	89	338
209	89	337
210	89	335
211	89	334
212	90	333
213	90	331
214	90	330
215	90	329
216	90	328
217	91	327
218	91	325
219	91	324
220	91	323
221	91	322
222	92	321
223	92	319
224	92	318
225	92	317
226	92	316
227	93	315
228	93	314
229	93	313
230	93	312
231	94	311
232	94	310
233	94	309
234	94	308
235	94	307
236	95	306
237	95	305
238	95	304
239	95	303
240	96	302
241	96	301
242	96	300
243	96	299
244	96	298
245	97	297
246	97	296
247	97	295
248	97	294
249	97	293
250	98	292
251	98	291
252	98	290
253	98	290
254	98	289
255	99	288
256	99	287
257	99	286
258	99	285
259	100	285
260	100	284
261	100	283
262	100	282
263	101	281
264	101	280
265	101	279
266	101	279
267	101	278
268	102	277
269	102	276
270	102	275
271	102	274
272	102	274
273	103	273
274	103	272
275	103	271
276	103	270
277	104	270
278	104	269
279	104	268
280	104	267
281	104	267
282	105	266
283	105	265
284	105	264
285	105	264
286	106	263
287	106	262
288	106	261
289	106	261
290	106	260
291	107	259
292	107	258
293	107	258
294	107	257
295	107	256
296	108	256
297	108	255
298	108	254
299	108	253
300	109	253
301	109	252
302	109	251
303	109	250
304	109	250
305	110	249
306	110	248
307	110	248
308	110	247
309	110	246
310	111	245
311	111	245
312	111	244
313	111	243
314	111	243
315	111	242
316	112	241
317	112	241
318	112	240
319	112	239
320	113	239
321	113	238
322	113	237
323	113	237
324	113	236
325	114	235
326	114	235
327	114	234
328	114	233
329	114	233
330	115	232
331	115	232
332	115	231
333	115	230
334	115	230
335	116	229
336	116	228
337	116	228
338	116	227
339	116	227
340	117	226
341	117	225
342	117	225
343	117	224
344	117	223
345	118	223
346	118	222
347	118	222
348	118	221
349	118	220
350	119	220
351	119	219
352	119	219
353	119	218
354	119	217
355	120	217
356	120	216
357	120	216
358	120	215
359	120	214
360	121	214
361	121	213
362	121	213
363	121	212
364	121	212
365	122	211
366	122	210
367	122	210
368	122	209
369	122	209
370	123	208
371	123	208
372	123	207
373	123	207
374	123	206
375	124	206
376	124	205
377	124	204
378	124	204
379	124	203
380	125	203
381	125	202
382	125	202
383	125	201
384	125	201
385	126	200
386	126	200
387	126	199
388	126	199
389	126	198
390	127	198
391	127	197
392	127	197
393	127	196
394	127	196
395	128	195
396	128	194
397	128	194
398	128	193
399	128	193
400	129	192
401	129	192
402	129	191
403	129	191
404	129	190
405	130	190
406	130	189
407	130	189
408	130	188
409	130	188
410	131	187
411	131	187
412	131	186
413	131	186
414	131	186
415	132	185
416	132	185
417	132	184
418	132	184
419	132	183
420	133	183
421	133	182
422	133	182
423	133	181
424	133	181
425	134	180
426	134	180
427	134	179
428	134	179
429	134	178
430	135	178
431	135	177
432	135	177
433	135	177
434	135	176
435	136	176
436	136	175
437	136	175
438	136	174
439	136	174
440	137	173
441	137	173
442	137	172
443	137	172
444	138	172
445	138	172
446	138	171
447	139	171
448	139	170
449	139	170
450	139	169
451	139	169
452	140	169
453	140	168
454	140	168
455	140	167
456	140	167
457	141	166
458	141	166
459	141	166
460	141	165
461	141	165
462	142	164
463	142	164
464	142	163
465	142	163
466	142	163
467	143	162
468	143	162
469	143	161
470	143	161
471	143	161
472	144	160
473	144	160
474	144	159
475	144	159
476	145	159
477	145	158
478	145	158
479	145	157
480	145	157
481	146	157
482	146	156
483	146	156
484	146	155
485	146	155
486	147	155
487	147	154
488	147	154
489	147	153
490	147	153
491	148	153
492	148	152
493	148	152
494	148	151
495	149	151
496	149	151
497	149	150
498	149	150
499	149	149
500	150	149
501	150	149
502	150	148
503	150	148
504	150	147
505	151	147
506	151	147
507	151	146
508	151	146
509	152	146
510	152	145
511	152	145
512	152	145
513	153	144
514	153	144
515	153	144
516	153	143
517	154	143
518	154	142
519	154	142
520	154	142
521	154	141
522	155	141
523	155	141
524	155	140
525	155	140
526	155	139
527	156	139
528	156	139
529	156	138
530	156	138
531	156	138
532	157	137
533	157	137
534	157	136
535	157	136
536	157	136
537	158	135
538	158	135
539	158	135
540	158	134
541	158	134
542	159	133
543	159	133
544	159	133
545	159	132
546	159	132
547	160	132
548	160	131
549	160	131
550	160	131
551	160	130
552	161	130
553	161	129
554	161	129
555	161	129
556	161	128
557	162	128
558	162	128
559	162	127
560	162	127
561	162	127
562	163	126
563	163	126
564	163	125
565	163	125
566	164	125
567	164	124
568	164	124
569	164	124
570	164	123
571	165	123
572	165	123
573	165	122
574	165	122
575	165	122
576	166	121
577	166	121
578	166	121
579	166	120
580	166	120
581	167	119
582	167	119
583	167	119
584	167	118
585	167	118
586	168	118
587	168	117
588	168	117
589	168	117
590	168	116
591	169	116
592	169	116
593	169	115
594	169	115
595	169	115
596	170	114
597	170	114
598	170	114
599	170	113
600	170	113
601	171	113
602	171	112
603	171	112
604	171	112
605	171	111
606	172	111
607	172	111
608	172	110
609	172	110
610	172	110
611	173	109
612	173	109
613	173	109
614	173	108
615	174	108
616	174	108
617	175	108
618	175	108
619	175	107
620	176	107
621	176	107
622	176	106
623	176	106
624	176	106
625	177	105
626	177	105
627	177	105
628	177	104
629	177	104
630	178	104
631	178	103
632	178	103
633	178	103
634	178	102
635	179	102
636	179	102
637	179	101
638	179	101
639	179	101
640	180	100
641	180	100
642	180	100
643	180	99
644	180	99
645	181	99
646	181	98
647	181	98
648	181	98
649	181	97
650	182	97
651	182	97
652	182	96
653	182	96
654	182	96
655	183	96
656	183	95
657	183	95
658	183	95
659	183	94
660	184	94
661	184	94
662	184	93
663	184	93
664	185	93
665	185	92
666	185	92
667	185	92
668	185	91
669	186	91
670	186	91
671	186	90
672	186	90
673	186	90
674	187	90
675	187	89
676	187	89
677	187	89
678	187	88
679	188	88
680	188	88
681	188	87
682	188	87
683	188	87
684	189	86
685	189	86
686	189	86
687	189	85
688	189	85
689	190	85
690	190	85
691	190	84
692	190	84
693	190	84
694	191	83
695	191	83
696	191	83
697	191	82
698	191	82
699	192	82
700	192	82
701	192	81
702	192	81
703	192	81
704	193	80
705	193	80
706	193	80
707	193	79
708	193	79
709	194	79
710	194	78
711	194	78
712	194	78
713	194	78
714	195	77
715	195	77
716	195	77
717	195	76
718	195	76
719	196	76
720	196	75
721	196	75
722	196	75
723	196	75
724	197	74
725	197	74
726	197	74
727	197	73
728	197	73
729	198	73
730	198	72
731	198	72
732	198	72
733	198	72
734	199	71
735	199	71
736	199	71
737	199	70
738	199	70
739	200	70
740	200	70
741	200	69
742	200	69
743	200	69
744	201	68
745	201	68
746	201	68
747	201	67
748	201	67
749	202	67
750	202	67
751	202	66
752	202	66
753	202	66
754	203	65
755	203	65
756	203	65
757	203	65
758	203	64
759	204	64
760	204	64
761	204	63
762	204	63
